ID,Language_ID,Headword,Part_Of_Speech,Entry_IDs,Homonym,IndoAryan_Proto_Form,Inflection_Class,Main_Entry,Media_IDs,Morphemic_Form,Origin,Phonetic,Restrictions,Usage,Variant_Form,Vernacular
LX001446,phl,maxadúši,adv.sp,mux ; LX000749,,,,,,,,"maxadúɕi, muxadúɕi, maxadúɕii","If postpositionally, with a preceding genitive argument.",,muxadúši ; maxadúši wée,مخدُشیۡ
LX001447,phl,maxlúq,n.masc,LX001448,,,a-decl (Obl): -á,,,,Urdu (Arabic): maxluuq,maxlúq,,,,مخلوق
LX001448,phl,maxluqaát,n.fem,LX001447,,,"i-decl (Obl, pl): -í",,,,Urdu (Arabic): maxluuqaat,maxluqaát,,,,مخلوقات
LX001449,phl,mazbút,adj.inv,,,,,,,,Urdu (Arabic): mazbuut,mazbút,,,,مضبُط
LX001450,phl,mazháb,n.fem,,,,i-decl (Obl): -í,,,,Urdu (Arabic): mazhab,mazháb,,,,مذہب
LX001451,phl,mágam,conj,,,,,,,,,máɡam,,,,مگم
LX001452,phl,mágar,conj,,,,,,,,Urdu (Persian): magar,máɡar,,,,مگر
LX001453,phl,meec̣hí,n.fem,,,mākṣiká- 'pertaining to a bee; honey' (T: 9989),a-decl (Obl): -á,,,,,meeʈʂʰí,,,,میڇھیۡ
LX001454,phl,méeǰi,adv.sp,,,mádhya- 'middle; the middle (neut); waist' (T: 9804),,,,,,méedʑi,"If postpositionally, with a preceding oblique argument.",,,میجیۡ
LX001455,phl,meelá,n.masc,,,,ee-decl (Pl): meeleé,,,,Urdu: melaa,meelá,,,,میلہ
LX001456,phl,méeli,n.fem,,,,,,,,,méeli,,,,میلیۡ
LX001457,phl,meelmastiaá,n.masc,,,,,,,,Pashto: melmastiiˈaa,meelmastjaá,,,,میلمستِئا
LX001458,phl,méemi,n.fem,,,*māmikā- 'mother' (T: 10058),m-decl (Pl): -m,,,,,méemi,,,,میمیۡ
